n, TA(n), TB(n), TC(n), log(n), log(TA), log(TB), log(TC)
100,0.8284,1.346,0.2779,6.64386,-0.271601,0.428678,-1.84736
200,3.4977,11.2249,1.0469,7.64386,1.80641,3.48863,0.0661236
300,7.3643,35.5334,2.3273,8.22882,2.88055,5.1511,1.21866
400,12.9243,81.7249,4.0831,8.64386,3.69201,6.3527,2.02966
500,20.317,157.548,6.2631,8.96578,4.34462,7.29965,2.64688
600,28.8555,275.466,9.1764,9.22882,4.85077,8.10573,3.19793
700,39.74,431.941,12.86,9.45121,5.31252,8.75469,3.68482
800,53.3285,644.402,16.1732,9.64386,5.73683,9.33182,4.01553
900,66.5497,905.774,20.9097,9.81378,6.05636,9.82301,4.3861
1000,82.3109,1243.83,25.438,9.96578,6.36301,10.2806,4.66891
1100,99.0967,1655.46,30.8518,10.1033,6.63077,10.693,4.94728
1200,119.943,2142.09,36.6407,10.2288,6.90621,11.0648,5.19538
1300,142.459,2772.46,44.6449,10.3443,7.15441,11.437,5.48042
1400,162.247,3392.38,51.365,10.4512,7.34205,11.7281,5.68271
1500,188.27,4168.01,57.9845,10.5507,7.55666,12.0251,5.8576
1600,215.472,5048.75,66.2053,10.6439,7.75136,12.3017,6.04887
1700,242.037,6055.07,75.2356,10.7313,7.91908,12.5639,6.23334
1800,271.308,7206.08,87.5197,10.8138,8.08379,12.815,6.45154
1900,307.194,8480.32,93.2444,10.8918,8.26301,13.0499,6.54295
2000,339.311,10408.9,104.996,10.9658,8.40646,13.3455,6.71419
2100,374.755,11592.2,114.171,11.0362,8.5498,13.5009,6.83506
2200,409.057,13377,130.382,11.1033,8.67616,13.7075,7.0266
2300,458.267,15252,138.148,11.1674,8.84005,13.8967,7.11007
2400,533.369,17083.4,150.923,11.2288,9.05899,14.0603,7.23767
2500,523.027,19190.7,161.677,11.2877,9.03074,14.2281,7.33697
2600,566.504,21635.4,178.868,11.3443,9.14594,14.4011,7.48275
2700,615.007,24245.7,189.224,11.3987,9.26446,14.5654,7.56395
2800,661.782,27056.1,204.384,11.4512,9.37021,14.7237,7.67514
2900,713.506,30153.3,220.177,11.5018,9.47878,14.88,7.78252
3000,769.051,33203.5,235.601,11.5507,9.58694,15.019,7.8802
